thr,alpha,n,total_pnl,mean_pnl,hit_rate,pf,max_dd,score
0.56,1.0,73100,7881529.686143892,107.81846355873996,0.9292749658002736,18.76595113317698,-92857.1547543807,7811191.672749324
0.5700000000000001,1.0,72955,7860652.576844141,107.74659141723171,0.9300116510177506,19.128211054307908,-90330.16112940107,7793276.268979909
0.38,1.5,76243,7866783.89600329,103.18040864083639,0.9160447516493317,16.746389611109226,-107151.77760142274,7779727.785935198
0.5800000000000001,1.0,72792,7837687.255244797,107.67237134911525,0.9307753599296626,19.45656901958938,-88759.64395461511,7772275.494113689
0.39,1.5,76096,7852055.884980477,103.18618435897388,0.9166973296888141,16.942176504296107,-105944.89149048459,7766441.605295148
0.4,1.5,75938,7836917.641697402,103.20152811105643,0.9176433406199794,17.144586558199364,-104718.98243258428,7752772.163134657
0.59,1.0,72599,7814026.242045678,107.6326979992242,0.931555531067921,19.79704368835147,-87236.67147367634,7750546.022998024
0.41000000000000003,1.5,75751,7821373.994340641,103.25109892068278,0.9182849071299389,17.353422027578073,-103475.29080394749,7738722.8099697875
0.6,1.0,72439,7789229.528940238,107.52812061100012,0.9320531757754801,20.136719589282336,-86004.51476266421,7727389.077684713
0.42,1.5,75552,7805412.253104949,103.31178861055893,0.9193138500635324,17.568435477409434,-102216.33858176786,7724278.037096073
0.43,1.5,75397,7788991.459727403,103.30638433528394,0.9201294481212781,17.789947080678232,-100939.355033678,7709400.041190539
0.61,1.0,72268,7762769.587316453,107.41641649577204,0.9327364808767366,20.472824130477548,-85407.48637719359,7701929.489895833
0.44,1.5,75215,7772083.626181301,103.33156453076249,0.9210795718939041,18.017538140931848,-99645.02272291481,7694059.649227504
0.45,1.5,75035,7754709.161605921,103.3478931379479,0.9217565136269741,18.251749419848604,-98335.02999000996,7678276.230919729
0.62,1.0,72079,7734800.117197793,107.31003644886572,0.9335590116400061,20.822166511691144,-84779.03544512205,7675007.6815667
0.46,1.5,74886,7736933.888163695,103.31615907063663,0.9221616857623588,18.49392178297899,-97011.84840058815,7662114.745902682
0.63,1.0,71884,7705628.11291062,107.19531624437455,0.9343247454231818,21.198474438496405,-84116.61419239361,7646949.668044422
0.47,1.5,74719,7718501.315312995,103.30038297237643,0.922763955620391,18.74253526273709,-95680.51560047083,7645311.842027809
0.48,1.5,74537,7699428.132980246,103.29672690046885,0.9235413284677408,18.999355959543035,-94342.50364720915,7627884.856484489
0.64,1.0,71681,7674917.660467125,107.07046024005139,0.9350455490297289,21.602414159384256,-83461.30433894321,7617379.253119443
0.49,1.5,74318,7679703.546273384,103.33571337056142,0.9241637288409268,19.26597814264883,-92995.92384053953,7609826.796204023
0.5,1.5,74189,7659309.48145109,103.24050036327611,0.9245979862243728,19.542470345838236,-91644.97887763754,7591115.466988459
0.65,1.0,71492,7641884.341686688,106.89146116609817,0.935657136462821,21.99966054686359,-82802.46877088863,7585481.465572036
0.51,1.5,73994,7638154.164722268,103.22666925321333,0.9253047544395492,19.827496042744986,-90295.14007496834,7571652.019898593
0.52,1.5,73805,7616090.5337250475,103.19206739008263,0.9260890183591898,20.11815399000949,-88953.56378197484,7551278.754731084
0.66,1.0,71256,7606318.710712042,106.7463611585276,0.9368754911867071,22.379398557098952,-82342.40498498548,7550831.583995575
0.38,2.0,76243,7615767.031800342,99.88808194588805,0.9160447516493317,18.8465612757239,-95404.84371200856,7542978.061619202
0.53,1.5,73607,7593125.771954252,103.15765853728928,0.9271808387789204,20.416435992343057,-87629.85816897359,7529995.63697609
0.39,2.0,76096,7598403.539059155,99.85286400151328,0.9166973296888141,19.055719393601905,-94421.44179404527,7526848.960537432
0.6699999999999999,1.0,70998,7568988.649186782,106.60847698789797,0.9379841685681287,22.78033365850737,-81856.84591909312,7514468.203657897
0.4,2.0,75938,7580563.841527985,99.82569782622646,0.9176433406199794,19.270169955511932,-93435.17564206012,7510252.86983254
0.54,1.5,73462,7569210.079806162,103.03572023367404,0.9278538564155618,20.723387163456096,-86337.42247312143,7507740.721929188
0.41000000000000003,2.0,75751,7562229.05808337,99.83008881840992,0.9182849071299389,19.48986299124781,-92447.44654302299,7493169.447129845
0.55,1.5,73280,7544197.357589411,102.95029145182059,0.9285480349344978,21.036148714054963,-85095.16563611478,7484345.570410162
